PMT angle, unpolarized angular count, unpolarized diffusive count, unpol ang total, unpol diff total
0, 3615804.0, 1395840.269992062, 6348000, 2372900
11.765081851751518, 3561997.1758645093, 1178628.2653414574, 5729000, 1944100
19.76624897040672, 2084994.1166541395, 546451.928206567, 3475000, 882100
29.545728336654577, 1478946.5375636413, 387378.482560165, 2609000, 697500
22.654529969829795, 2938354.849637892, 975404.3496090269, 4930000, 1638300
12.0896077610188, 3756498.795149259, 1424462.8075726426, 6354000, 2487800
0, 3661402.0, 1390774.0111736832, 5993000, 2402700
9.11847778484164, 2733703.346231991, 839619.8557413341, 4448000, 1411500
